1: Original w/ default SA


10/18/2018 17:27:34.554   ADDR: 0x   DATA: 0x   [ARB: 111, TRX Error (01)]
10/18/2018 17:30:07.251   ADDR: 0x10   DATA: 0x00002AAF   [ARB: 000, EOM, ACK]

//		pmu_set_adc_period(1) (line 508)
10/18/2018 17:30:07.254   ADDR: 0x60   DATA: 0x3C17C7FD   [ARB: 000, EOM, ACK]
10/18/2018 17:30:07.256   ADDR: 0x10   DATA: 0x0017C7FD   [ARB: 000, EOM, ACK]
10/18/2018 17:30:07.302   ADDR: 0x60   DATA: 0x36000001   [ARB: 000, EOM, ACK]
10/18/2018 17:30:07.303   ADDR: 0x10   DATA: 0x00000001   [ARB: 000, EOM, ACK]
10/18/2018 17:30:07.349   ADDR: 0x60   DATA: 0x33000002   [ARB: 000, EOM, ACK]
10/18/2018 17:30:07.351   ADDR: 0x10   DATA: 0x00000002   [ARB: 000, EOM, ACK]
10/18/2018 17:30:07.355   ADDR: 0x60   DATA: 0x34000002   [ARB: 000, EOM, ACK]
10/18/2018 17:30:07.356   ADDR: 0x10   DATA: 0x00000002   [ARB: 000, EOM, ACK]
10/18/2018 17:30:07.361   ADDR: 0x60   DATA: 0x3C17C7FF   [ARB: 000, EOM, ACK]
10/18/2018 17:30:07.362   ADDR: 0x10   DATA: 0x0017C7FF   [ARB: 000, EOM, ACK]

// 	pmu_reset_solar_short() (line 1139)
10/18/2018 17:30:07.367   ADDR: 0x60   DATA: 0x0E000E30   [ARB: 000, EOM, ACK]
10/18/2018 17:30:07.369   ADDR: 0x10   DATA: 0x00000E30   [ARB: 000, EOM, ACK]
10/18/2018 17:30:07.373   ADDR: 0x60   DATA: 0x0E000C30   [ARB: 000, EOM, ACK]
10/18/2018 17:30:07.375   ADDR: 0x10   DATA: 0x00000C30   [ARB: 000, EOM, ACK]

//	mbus_remote_register_write (PMU, 0x45) (line 1143) -- Reply comes later. TIMING CONFLICT.
10/18/2018 17:30:07.379   ADDR: 0x60   DATA: 0x45000048   [ARB: 000, EOM, ACK]

//	mbus_remote_register_write (PMU, 0x3A) (line 1152) -- MESSAGE OVERLAPPED.
10/18/2018 17:30:07.381   ADDR: 0x60   DATA: 0x3A103800   [ARB: 000, EOM, ACK]

// NOTE: This should be a reply to the 0x45 register write.
10/18/2018 17:30:07.382   ADDR: 0x10   DATA: 0x00000048   [ARB: 000, EOM, ACK]

// MBus timeout
10/18/2018 17:30:12.970   ADDR: 0x01   DATA: 0x2FFFF0   [ARB: 000, EOM, ACK]
